time [s],voltage [V],current [A],temperature_A [K],temperature_B [K],setpoint [K]
21.76497507095337,+3.38647600E+00,+1.597749E-03,279.58,270.18,279.57,";
"
22.54249119758606,+3.38647300E+00,+1.597739E-03,279.58,270.18,279.57,";
"
23.189558029174805,+3.38646700E+00,+1.597747E-03,279.58,270.18,279.57,";
"
23.821910858154297,+3.38646700E+00,+1.597747E-03,279.58,270.17,279.56,";
"
24.46145486831665,+3.38646100E+00,+1.597745E-03,279.58,270.17,279.56,";
"
25.102397441864014,+3.38646100E+00,+1.597744E-03,279.58,270.17,279.56,";
"
25.7226619720459,+3.38645800E+00,+1.597742E-03,279.58,270.17,279.56,";
"
26.363934755325317,+3.38646100E+00,+1.597730E-03,279.57,270.17,279.56,";
"
26.993581533432007,+3.38645200E+00,+1.597740E-03,279.57,270.17,279.56,";
"
27.624531269073486,+3.38645500E+00,+1.597738E-03,279.57,270.17,279.56,";
"
28.262997150421143,+3.38644400E+00,+1.597746E-03,279.57,270.17,279.56,";
"
28.89350414276123,+3.38644100E+00,+1.597734E-03,279.57,270.17,279.56,";
"
29.524736881256104,+3.38644400E+00,+1.597732E-03,279.57,270.17,279.55,";
"
30.144832372665405,+3.38643800E+00,+1.597732E-03,279.57,270.17,279.55,";
"
30.766024589538574,+3.38643200E+00,+1.597722E-03,279.57,270.16,279.55,";
"
31.39458179473877,+3.38643500E+00,+1.597729E-03,279.57,270.16,279.55,";
"
32.027093172073364,+3.38642900E+00,+1.597727E-03,279.57,270.16,279.55,";
"
32.64741802215576,+3.38642600E+00,+1.597725E-03,279.57,270.16,279.55,";
"
33.26739048957825,+3.38642600E+00,+1.597724E-03,279.57,270.16,279.55,";
"
33.90779137611389,+3.38642000E+00,+1.597723E-03,279.56,270.16,279.55,";
"
34.52788829803467,+3.38642300E+00,+1.597722E-03,279.56,270.16,279.55,";
"
35.148239850997925,+3.38641800E+00,+1.597722E-03,279.56,270.16,279.55,";
"
35.768816232681274,+3.38640600E+00,+1.597719E-03,279.56,270.16,279.54,";
"
36.409972190856934,+3.38640900E+00,+1.597718E-03,279.56,270.16,279.54,";
"
37.02960443496704,+3.38640900E+00,+1.597716E-03,279.56,270.16,279.54,";
"
37.650352001190186,+3.38640000E+00,+1.597716E-03,279.56,270.15,279.54,";
"
38.27964997291565,+3.38639700E+00,+1.597714E-03,279.56,270.15,279.54,";
"
38.9101767539978,+3.38639100E+00,+1.597713E-03,279.56,270.15,279.54,";
"
39.53168725967407,+3.38639100E+00,+1.597711E-03,279.56,270.15,279.54,";
"
40.15157175064087,+3.38638800E+00,+1.597710E-03,279.55,270.15,279.54,";
"
40.781665086746216,+3.38638800E+00,+1.597708E-03,279.55,270.15,279.54,";
"
41.413161754608154,+3.38638600E+00,+1.597705E-03,279.55,270.15,279.53,";
"
42.032461643218994,+3.38637700E+00,+1.597705E-03,279.55,270.15,279.53,";
"
42.680747747421265,+3.38638000E+00,+1.597702E-03,279.55,270.15,279.53,";
"
43.31302070617676,+3.38637700E+00,+1.597703E-03,279.55,270.15,279.53,";
"
43.93355441093445,+3.38638300E+00,+1.597701E-03,279.55,270.14,279.53,";
"
44.58297562599182,+3.38637100E+00,+1.597700E-03,279.55,270.14,279.53,";
"
45.2141649723053,+3.38636500E+00,+1.597697E-03,279.54,270.14,279.53,";
"
45.85499310493469,+3.38636200E+00,+1.597703E-03,279.54,270.14,279.53,";
"
46.494094371795654,+3.38636500E+00,+1.597694E-03,279.54,270.14,279.53,";
"
47.13632035255432,+3.38636500E+00,+1.597689E-03,279.54,270.14,279.53,";
"
47.786598920822144,+3.38635900E+00,+1.597692E-03,279.54,270.14,279.52,";
"
48.416579246520996,+3.38635600E+00,+1.597691E-03,279.54,270.14,279.52,";
"
49.056482791900635,+3.38635400E+00,+1.597694E-03,279.54,270.14,279.52,";
"
49.697333335876465,+3.38634800E+00,+1.597689E-03,279.53,270.13,279.52,";
"
51.09873962402344,+3.38634500E+00,+1.597685E-03,279.53,270.13,279.52,";
"
51.71882224082947,+3.38633600E+00,+1.597683E-03,279.53,270.13,279.52,";
"
52.35959720611572,+3.38633000E+00,+1.597682E-03,279.53,270.13,279.52,";
"
52.9996440410614,+3.38633000E+00,+1.597683E-03,279.53,270.13,279.52,";
"
53.63946890830994,+3.38632700E+00,+1.597689E-03,279.53,270.13,279.51,";
"
54.28888535499573,+3.38632700E+00,+1.597678E-03,279.53,270.13,279.51,";
"
54.91950082778931,+3.38632200E+00,+1.597677E-03,279.53,270.13,279.51,";
"
55.56183075904846,+3.38631600E+00,+1.597665E-03,279.52,270.13,279.51,";
"
56.190514087677,+3.38631300E+00,+1.597675E-03,279.52,270.13,279.51,";
"
56.843146085739136,+3.38631300E+00,+1.597674E-03,279.52,270.13,279.51,";
"
57.46158051490784,+3.38631300E+00,+1.597683E-03,279.52,270.12,279.51,";
"
58.09133195877075,+3.38631000E+00,+1.597671E-03,279.52,270.12,279.51,";
"
58.70458102226257,+3.38630100E+00,+1.597670E-03,279.52,270.12,279.51,";
"
59.32445788383484,+3.38630400E+00,+1.597668E-03,279.52,270.12,279.5,";
"
59.94487166404724,+3.38629800E+00,+1.597667E-03,279.52,270.12,279.5,";
"
60.565558433532715,+3.38630100E+00,+1.597656E-03,279.51,270.12,279.5,";
"
61.19453692436218,+3.38628700E+00,+1.597665E-03,279.51,270.12,279.5,";
"
61.82638359069824,+3.38628400E+00,+1.597662E-03,279.51,270.12,279.5,";
"
62.44665598869324,+3.38628700E+00,+1.597661E-03,279.51,270.12,279.5,";
"
63.06633973121643,+3.38628400E+00,+1.597670E-03,279.51,270.12,279.5,";
"
63.695528745651245,+3.38628700E+00,+1.597657E-03,279.51,270.11,279.5,";
"
64.3276743888855,+3.38628100E+00,+1.597657E-03,279.51,270.11,279.5,";
"
64.94829750061035,+3.38628100E+00,+1.597655E-03,279.51,270.11,279.5,";
"
65.5679042339325,+3.38626900E+00,+1.597655E-03,279.5,270.11,279.49,";
"
66.20860505104065,+3.38627200E+00,+1.597652E-03,279.5,270.11,279.49,";
"
66.82918977737427,+3.38626900E+00,+1.597652E-03,279.5,270.11,279.49,";
"
67.44890141487122,+3.38626000E+00,+1.597650E-03,279.5,270.11,279.49,";
"
68.06947088241577,+3.38626300E+00,+1.597649E-03,279.5,270.11,279.49,";
"
68.71014714241028,+3.38625500E+00,+1.597647E-03,279.5,270.11,279.49,";
"
69.33052515983582,+3.38625200E+00,+1.597646E-03,279.5,270.11,279.49,";
"
69.95002722740173,+3.38625200E+00,+1.597643E-03,279.5,270.1,279.49,";
"
70.57116198539734,+3.38625200E+00,+1.597642E-03,279.49,270.1,279.49,";
"
71.20951247215271,+3.38624600E+00,+1.597640E-03,279.49,270.1,279.49,";
"
71.83015203475952,+3.38624600E+00,+1.597640E-03,279.49,270.1,279.48,";
"
72.45143365859985,+3.38624600E+00,+1.597638E-03,279.49,270.1,279.48,";
"
73.08115291595459,+3.38624000E+00,+1.597638E-03,279.49,270.1,279.48,";
"
73.7124195098877,+3.38624000E+00,+1.597636E-03,279.49,270.1,279.48,";
"
74.33330178260803,+3.38622600E+00,+1.597635E-03,279.49,270.1,279.48,";
"
74.98358011245728,+3.38622900E+00,+1.597634E-03,279.49,270.1,279.48,";
"
75.61417603492737,+3.38622600E+00,+1.597631E-03,279.49,270.1,279.48,";
"
76.25388312339783,+3.38622000E+00,+1.597639E-03,279.48,270.1,279.48,";
"
76.89665532112122,+3.38622300E+00,+1.597628E-03,279.48,270.09,279.48,";
"
77.53464150428772,+3.38621700E+00,+1.597627E-03,279.48,270.09,279.47,";
"
78.18547868728638,+3.38621400E+00,+1.597626E-03,279.48,270.09,279.47,";
"
78.81562304496765,+3.38620800E+00,+1.597624E-03,279.48,270.09,279.47,";
"
79.45560455322266,+3.38620500E+00,+1.597632E-03,279.48,270.09,279.47,";
"
80.09666109085083,+3.38619900E+00,+1.597621E-03,279.48,270.09,279.47,";
"
80.71620464324951,+3.38620200E+00,+1.597619E-03,279.48,270.09,279.47,";
"
81.35796022415161,+3.38620200E+00,+1.597608E-03,279.48,270.09,279.47,";
"
81.99690675735474,+3.38619900E+00,+1.597618E-03,279.47,270.09,279.47,";
"
82.63757944107056,+3.38619100E+00,+1.597615E-03,279.47,270.09,279.47,";
"
83.28763556480408,+3.38619100E+00,+1.597614E-03,279.47,270.08,279.46,";
"
83.91872143745422,+3.38618800E+00,+1.597611E-03,279.47,270.08,279.46,";
"
84.5596878528595,+3.38618800E+00,+1.597601E-03,279.47,270.08,279.46,";
"
85.19974160194397,+3.38618200E+00,+1.597608E-03,279.47,270.08,279.46,";
"
85.84118175506592,+3.38618200E+00,+1.597607E-03,279.47,270.08,279.46,";
"
86.46094679832458,+3.38617300E+00,+1.597615E-03,279.47,270.08,279.46,";
"
87.10118079185486,+3.38617600E+00,+1.597606E-03,279.47,270.08,279.46,";
"
87.72259521484375,+3.38617300E+00,+1.597605E-03,279.47,270.08,279.46,";
"
88.34239745140076,+3.38616500E+00,+1.597602E-03,279.47,270.08,279.46,";
"
88.96284437179565,+3.38616700E+00,+1.597601E-03,279.46,270.08,279.46,";
"
89.59209156036377,+3.38616200E+00,+1.597599E-03,279.46,270.08,279.45,";
"
90.22404479980469,+3.38615900E+00,+1.597597E-03,279.46,270.07,279.45,";
"
90.84440302848816,+3.38615300E+00,+1.597596E-03,279.46,270.07,279.45,";
"
91.46540355682373,+3.38615600E+00,+1.597596E-03,279.46,270.07,279.45,";
"
92.09447526931763,+3.38615000E+00,+1.597594E-03,279.46,270.07,279.45,";
"
92.72678995132446,+3.38615000E+00,+1.597593E-03,279.46,270.07,279.45,";
"
93.34728765487671,+3.38615000E+00,+1.597591E-03,279.46,270.07,279.45,";
"
93.96768546104431,+3.38614400E+00,+1.597591E-03,279.46,270.07,279.45,";
"
94.59690713882446,+3.38613800E+00,+1.597589E-03,279.46,270.07,279.45,";
"
95.22710609436035,+3.38613000E+00,+1.597588E-03,279.46,270.07,279.45,";
"
95.84913396835327,+3.38613300E+00,+1.597586E-03,279.45,270.07,279.44,";
"
96.4683825969696,+3.38613300E+00,+1.597585E-03,279.45,270.06,279.44,";
"
97.0965883731842,+3.38612700E+00,+1.597574E-03,279.45,270.06,279.44,";
"
98.00963044166565,+3.38611800E+00,+1.597582E-03,279.45,270.06,279.44,";
"
99.03096103668213,+3.38611500E+00,+1.597579E-03,279.45,270.06,279.44,";
"
100.05139493942261,+3.38610900E+00,+1.597577E-03,279.45,270.06,279.44,";
"
101.08241629600525,+3.38611200E+00,+1.597585E-03,279.45,270.06,279.44,";
"
101.71247053146362,+3.38610600E+00,+1.597572E-03,279.45,270.06,279.43,";
"
102.35476207733154,+3.38610100E+00,+1.597573E-03,279.45,270.06,279.43,";
"
103.0002191066742,+3.38610300E+00,+1.597571E-03,279.44,270.05,279.43,";
"
103.63392949104309,+3.38609800E+00,+1.597570E-03,279.44,270.05,279.43,";
"
104.28239750862122,+3.38610100E+00,+1.597578E-03,279.44,270.05,279.43,";
"
104.91413354873657,+3.38608900E+00,+1.597567E-03,279.44,270.05,279.43,";
"
105.55451846122742,+3.38608900E+00,+1.597556E-03,279.44,270.05,279.43,";
"
106.21468782424927,+3.38608300E+00,+1.597564E-03,279.44,270.05,279.43,";
"
106.85485172271729,+3.38608300E+00,+1.597562E-03,279.44,270.05,279.43,";
"
107.49568724632263,+3.38608000E+00,+1.597560E-03,279.44,270.05,279.42,";
"
108.13508296012878,+3.38607400E+00,+1.597559E-03,279.44,270.05,279.42,";
"
108.78395533561707,+3.38607400E+00,+1.597548E-03,279.44,270.05,279.42,";
"
109.41562604904175,+3.38606300E+00,+1.597556E-03,279.44,270.04,279.42,";
"
110.05560302734375,+3.38606300E+00,+1.597555E-03,279.43,270.04,279.42,";
"
110.68446683883667,+3.38606300E+00,+1.597564E-03,279.43,270.04,279.42,";
"
111.316819190979,+3.38606000E+00,+1.597553E-03,279.43,270.04,279.42,";
"
111.95657801628113,+3.38606300E+00,+1.597552E-03,279.43,270.04,279.42,";
"
112.59767317771912,+3.38604800E+00,+1.597550E-03,279.43,270.04,279.42,";
"
113.23758149147034,+3.38605100E+00,+1.597550E-03,279.43,270.04,279.41,";
"
113.88760256767273,+3.38604800E+00,+1.597557E-03,279.43,270.04,279.41,";
"
114.51745104789734,+3.38604200E+00,+1.597547E-03,279.43,270.04,279.41,";
"
115.15896415710449,+3.38603700E+00,+1.597544E-03,279.43,270.04,279.41,";
"
115.79913687705994,+3.38604200E+00,+1.597543E-03,279.42,270.04,279.41,";
"
116.43885040283203,+3.38603700E+00,+1.597542E-03,279.42,270.03,279.41,";
"
117.0885124206543,+3.38603100E+00,+1.597550E-03,279.42,270.03,279.41,";
"
117.71980953216553,+3.38603100E+00,+1.597539E-03,279.42,270.03,279.41,";
"
118.36000418663025,+3.38602800E+00,+1.597537E-03,279.42,270.03,279.41,";
"
119.00069952011108,+3.38602200E+00,+1.597535E-03,279.42,270.03,279.41,";
"
119.64112138748169,+3.38602800E+00,+1.597535E-03,279.42,270.03,279.4,";
"
120.2603702545166,+3.38601300E+00,+1.597533E-03,279.42,270.03,279.4,";
"
120.90112233161926,+3.38601600E+00,+1.597542E-03,279.42,270.03,279.4,";
"
121.5216932296753,+3.38601000E+00,+1.597528E-03,279.42,270.03,279.4,";
"
122.14269542694092,+3.38601000E+00,+1.597529E-03,279.41,270.03,279.4,";
"
122.7625322341919,+3.38601300E+00,+1.597527E-03,279.41,270.02,279.4,";
"
123.39178943634033,+3.38600500E+00,+1.597515E-03,279.41,270.02,279.4,";
"
124.02333807945251,+3.38599900E+00,+1.597525E-03,279.41,270.02,279.4,";
"
124.64453744888306,+3.38599900E+00,+1.597524E-03,279.41,270.02,279.4,";
"
125.26440024375916,+3.38599300E+00,+1.597521E-03,279.41,270.02,279.39,";
"
125.89281892776489,+3.38599600E+00,+1.597530E-03,279.41,270.02,279.39,";
"
126.52575492858887,+3.38598700E+00,+1.597520E-03,279.41,270.02,279.39,";
"
127.14564776420593,+3.38598700E+00,+1.597518E-03,279.41,270.02,279.39,";
"
127.76657891273499,+3.38598700E+00,+1.597516E-03,279.4,270.02,279.39,";
"
128.39594054222107,+3.38598700E+00,+1.597504E-03,279.4,270.02,279.39,";
"
129.02660155296326,+3.38597800E+00,+1.597514E-03,279.4,270.02,279.39,";
"
129.66695189476013,+3.38597600E+00,+1.597512E-03,279.4,270.01,279.39,";
"
130.29556560516357,+3.38597300E+00,+1.597522E-03,279.4,270.01,279.39,";
"
130.92834162712097,+3.38596700E+00,+1.597509E-03,279.4,270.01,279.39,";
"
131.54888081550598,+3.38596700E+00,+1.597508E-03,279.4,270.01,279.38,";
"
132.1686441898346,+3.38596100E+00,+1.597507E-03,279.4,270.01,279.38,";
"
132.79793119430542,+3.38595800E+00,+1.597495E-03,279.39,270.01,279.38,";
"
133.42956233024597,+3.38595500E+00,+1.597504E-03,279.39,270.01,279.38,";
"
134.05033540725708,+3.38595800E+00,+1.597502E-03,279.39,270.01,279.38,";
"
134.66996145248413,+3.38594900E+00,+1.597502E-03,279.39,270.01,279.38,";
"
135.2987802028656,+3.38595500E+00,+1.597510E-03,279.39,270.01,279.38,";
"
135.9304976463318,+3.38594900E+00,+1.597498E-03,279.39,270.0,279.38,";
"
136.55120539665222,+3.38594400E+00,+1.597497E-03,279.39,270.0,279.38,";
"
137.19957208633423,+3.38594100E+00,+1.597484E-03,279.39,270.0,279.38,";
"
137.83149218559265,+3.38593800E+00,+1.597493E-03,279.39,270.0,279.37,";
"
138.47158575057983,+3.38593800E+00,+1.597492E-03,279.38,270.0,279.37,";
"
139.11224579811096,+3.38593200E+00,+1.597492E-03,279.38,270.0,279.37,";
"
139.75247287750244,+3.38592900E+00,+1.597492E-03,279.38,270.0,279.37,";
"
140.3998143672943,+3.38592900E+00,+1.597480E-03,279.38,270.0,279.37,";
"
141.03291368484497,+3.38592000E+00,+1.597489E-03,279.38,270.0,279.37,";
"
141.67319226264954,+3.38592000E+00,+1.597486E-03,279.38,270.0,279.37,";
"
142.3118646144867,+3.38592000E+00,+1.597486E-03,279.38,270.0,279.37,";
"
142.95991897583008,+3.38591400E+00,+1.597484E-03,279.38,269.99,279.37,";
"
143.59876322746277,+3.38590900E+00,+1.597473E-03,279.38,269.99,279.36,";
"
144.23348546028137,+3.38591200E+00,+1.597481E-03,279.37,269.99,279.36,";
"
144.87445092201233,+3.38590300E+00,+1.597480E-03,279.37,269.99,279.36,";
"
145.5137276649475,+3.38590000E+00,+1.597479E-03,279.37,269.99,279.36,";
"
146.1533443927765,+3.38590300E+00,+1.597476E-03,279.37,269.99,279.36,";
"
146.79878973960876,+3.38589100E+00,+1.597465E-03,279.37,269.99,279.36,";
"
147.43399119377136,+3.38590000E+00,+1.597474E-03,279.37,269.99,279.36,";
"
148.07350897789001,+3.38588800E+00,+1.597472E-03,279.37,269.99,279.36,";
"
148.71340656280518,+3.38588800E+00,+1.597471E-03,279.37,269.99,279.36,";
"
149.3536741733551,+3.38588200E+00,+1.597469E-03,279.37,269.98,279.35,";
"
149.99868822097778,+3.38588200E+00,+1.597457E-03,279.36,269.98,279.35,";
"
150.63397479057312,+3.38587700E+00,+1.597467E-03,279.36,269.98,279.35,";
"
151.28305768966675,+3.38587400E+00,+1.597465E-03,279.36,269.98,279.35,";
"
151.91390442848206,+3.38587700E+00,+1.597463E-03,279.36,269.98,279.35,";
"
152.55428004264832,+3.38586800E+00,+1.597463E-03,279.36,269.98,279.35,";
"
153.19817233085632,+3.38586500E+00,+1.597451E-03,279.36,269.98,279.35,";
"
153.83546614646912,+3.38586200E+00,+1.597459E-03,279.36,269.98,279.35,";
"
154.48444962501526,+3.38586200E+00,+1.597458E-03,279.36,269.98,279.35,";
"
155.11609768867493,+3.38586500E+00,+1.597455E-03,279.36,269.98,279.35,";
"
155.75657892227173,+3.38585000E+00,+1.597455E-03,279.35,269.98,279.34,";
"
156.39880204200745,+3.38585600E+00,+1.597444E-03,279.35,269.97,279.34,";
"
157.03728103637695,+3.38584500E+00,+1.597453E-03,279.35,269.97,279.34,";
"
157.6860592365265,+3.38584500E+00,+1.597451E-03,279.35,269.97,279.34,";
"
158.31722974777222,+3.38584800E+00,+1.597450E-03,279.35,269.97,279.34,";
"
158.95773577690125,+3.38583900E+00,+1.597448E-03,279.35,269.97,279.34,";
"
159.5986292362213,+3.38583300E+00,+1.597436E-03,279.35,269.97,279.34,";
"
160.23755288124084,+3.38583000E+00,+1.597444E-03,279.35,269.97,279.34,";
"
160.8862748146057,+3.38582700E+00,+1.597444E-03,279.35,269.97,279.34,";
"
161.51822590827942,+3.38583000E+00,+1.597443E-03,279.34,269.97,279.33,";
"
162.15901565551758,+3.38581800E+00,+1.597441E-03,279.34,269.97,279.33,";
"
162.7995400428772,+3.38582100E+00,+1.597442E-03,279.34,269.96,279.33,";
"
163.4185025691986,+3.38581600E+00,+1.597438E-03,279.34,269.96,279.33,";
"
164.0593981742859,+3.38582100E+00,+1.597439E-03,279.34,269.96,279.33,";
"
164.68865203857422,+3.38581000E+00,+1.597436E-03,279.34,269.96,279.33,";
"
165.3188774585724,+3.38581000E+00,+1.597435E-03,279.34,269.96,279.33,";
"
165.95933365821838,+3.38581000E+00,+1.597434E-03,279.34,269.96,279.33,";
"
166.5888228416443,+3.38580700E+00,+1.597431E-03,279.34,269.96,279.33,";
"
167.22060823440552,+3.38580100E+00,+1.597420E-03,279.34,269.96,279.33,";
"
167.84139776229858,+3.38580100E+00,+1.597429E-03,279.33,269.96,279.32,";
"
168.46147561073303,+3.38579200E+00,+1.597428E-03,279.33,269.96,279.32,";
"
169.08988523483276,+3.38579200E+00,+1.597425E-03,279.33,269.96,279.32,";
"
169.7012655735016,+3.38578900E+00,+1.597425E-03,279.33,269.95,279.32,";
"
170.32163858413696,+3.38578600E+00,+1.597433E-03,279.33,269.95,279.32,";
"
170.9420943260193,+3.38578900E+00,+1.597422E-03,279.33,269.95,279.32,";
"
171.56183314323425,+3.38578400E+00,+1.597420E-03,279.33,269.95,279.32,";
"
172.19093418121338,+3.38577800E+00,+1.597419E-03,279.33,269.95,279.32,";
"
172.82260537147522,+3.38577500E+00,+1.597408E-03,279.33,269.95,279.32,";
"
173.44239830970764,+3.38577200E+00,+1.597416E-03,279.33,269.95,279.31,";
"
174.0624177455902,+3.38576600E+00,+1.597414E-03,279.32,269.95,279.31,";
"
174.69095015525818,+3.38576600E+00,+1.597414E-03,279.32,269.95,279.31,";
"
175.3224003314972,+3.38576000E+00,+1.597423E-03,279.32,269.95,279.31,";
"
175.94405031204224,+3.38576300E+00,+1.597411E-03,279.32,269.94,279.31,";
"
176.59420466423035,+3.38576000E+00,+1.597410E-03,279.32,269.94,279.31,";
"
177.2232542037964,+3.38575700E+00,+1.597398E-03,279.32,269.94,279.31,";
"
177.84388709068298,+3.38575200E+00,+1.597407E-03,279.32,269.94,279.31,";
"
178.46423983573914,+3.38575200E+00,+1.597406E-03,279.32,269.94,279.31,";
"
179.09338855743408,+3.38574600E+00,+1.597403E-03,279.32,269.94,279.31,";
"
179.72462844848633,+3.38574000E+00,+1.597413E-03,279.32,269.94,279.3,";
"
180.34457540512085,+3.38574600E+00,+1.597401E-03,279.31,269.94,279.3,";
"
180.96503567695618,+3.38574000E+00,+1.597401E-03,279.31,269.94,279.3,";
"
181.59402203559875,+3.38572800E+00,+1.597400E-03,279.31,269.94,279.3,";
"
182.2258448600769,+3.38573100E+00,+1.597389E-03,279.31,269.94,279.3,";
"
182.8456335067749,+3.38572800E+00,+1.597397E-03,279.31,269.93,279.3,";
"
183.46540880203247,+3.38572300E+00,+1.597396E-03,279.31,269.93,279.3,";
"
184.09285950660706,+3.38572500E+00,+1.597405E-03,279.31,269.93,279.3,";
"
184.74546194076538,+3.38572500E+00,+1.597392E-03,279.31,269.93,279.3,";
"
185.36578488349915,+3.38571700E+00,+1.597392E-03,279.31,269.93,279.29,";
"
185.9955599308014,+3.38571400E+00,+1.597389E-03,279.31,269.93,279.29,";
"
186.62582063674927,+3.38571100E+00,+1.597378E-03,279.3,269.93,279.29,";
"
187.2465693950653,+3.38570800E+00,+1.597386E-03,279.3,269.93,279.29,";
"
187.86657857894897,+3.38570500E+00,+1.597385E-03,279.3,269.93,279.29,";
"
188.49515056610107,+3.38570200E+00,+1.597384E-03,279.3,269.93,279.29,";
"
189.12739419937134,+3.38570200E+00,+1.597393E-03,279.3,269.93,279.29,";
"
189.7470428943634,+3.38569900E+00,+1.597382E-03,279.3,269.92,279.29,";
"
190.3668360710144,+3.38569300E+00,+1.597379E-03,279.3,269.92,279.29,";
"
190.9959237575531,+3.38569300E+00,+1.597379E-03,279.3,269.92,279.29,";
"
191.63076949119568,+3.38568800E+00,+1.597376E-03,279.3,269.92,279.28,";
"
192.26768589019775,+3.38569100E+00,+1.597375E-03,279.3,269.92,279.28,";
"
192.9083034992218,+3.38568200E+00,+1.597375E-03,279.29,269.92,279.28,";
"
193.52969455718994,+3.38568500E+00,+1.597374E-03,279.29,269.92,279.28,";
"
194.1696434020996,+3.38567600E+00,+1.597371E-03,279.29,269.92,279.28,";
"
194.79957008361816,+3.38567300E+00,+1.597370E-03,279.29,269.92,279.28,";
"
195.4292426109314,+3.38566700E+00,+1.597358E-03,279.29,269.92,279.28,";
"
196.0491659641266,+3.38566700E+00,+1.597367E-03,279.29,269.91,279.28,";
"
196.66987776756287,+3.38567000E+00,+1.597365E-03,279.29,269.91,279.28,";
"
197.3095622062683,+3.38566100E+00,+1.597366E-03,279.29,269.91,279.27,";
"
197.92951846122742,+3.38566100E+00,+1.597374E-03,279.29,269.91,279.27,";
"
198.5498878955841,+3.38565900E+00,+1.597363E-03,279.29,269.91,279.27,";
"
199.16982078552246,+3.38565300E+00,+1.597361E-03,279.28,269.91,279.27,";
"
199.8005986213684,+3.38564400E+00,+1.597361E-03,279.28,269.91,279.27,";
"
200.43072938919067,+3.38565000E+00,+1.597358E-03,279.28,269.91,279.27,";
"
201.07026958465576,+3.38564400E+00,+1.597357E-03,279.28,269.91,279.27,";
"
201.69872331619263,+3.38564700E+00,+1.597356E-03,279.28,269.91,279.27,";
"
202.33603620529175,+3.38564400E+00,+1.597356E-03,279.28,269.9,279.27,";
"
202.97074842453003,+3.38563500E+00,+1.597354E-03,279.28,269.9,279.27,";
"
203.61102676391602,+3.38563500E+00,+1.597343E-03,279.28,269.9,279.26,";
"
204.25321173667908,+3.38563200E+00,+1.597351E-03,279.28,269.9,279.26,";
"
204.8995394706726,+3.38562700E+00,+1.597350E-03,279.28,269.9,279.26,";
"
205.53124856948853,+3.38562700E+00,+1.597348E-03,279.27,269.9,279.26,";
"
206.17107391357422,+3.38562100E+00,+1.597346E-03,279.27,269.9,279.26,";
"
206.81147480010986,+3.38561800E+00,+1.597335E-03,279.27,269.9,279.26,";
"
207.45147395133972,+3.38560900E+00,+1.597344E-03,279.27,269.9,279.26,";
"
208.0992660522461,+3.38561200E+00,+1.597343E-03,279.27,269.9,279.26,";
"
